Code,Title,Description,Related Job Titles,Tasks
7122,"Debt, rent and other cash collectors","Debt, rent and other cash collectors collect payments due or overdue from households and businesses and empty cash from prepayment meters or machines.","- Bailiff
- Collecting agent
- Debt collector
- Meter reader
- Pawn broker
- Vending operator","- receives payment at centralised office or calls on household/business premises
- records details of transaction, issues receipt or annotates rent book
- reads gas, water and electricity meters
- cleans, services and fills vending machines and collects money from meters, vending machines and other cash operated machinery
- collects tolls from persons wishing to gain access to private roads, bridges, piers, etc. and operates tollgates to control entry
- remits cash, cheques or credit notes to cashier, supervisor or bank, building society or post office
- serves summonses and, on court authority, takes possession of goods to the value of outstanding debt"
7123,Roundspersons and van salespersons,"Roundspersons and van salespersons deliver and sell food, drink and other goods by calling on householders or by selling from a mobile shop or van and call on households to collect and receive payment for laundered or similarly serviced articles.","- Dairyman (retail trade: delivery round)
- Ice-cream salesman
- Milkman (milk retailing)
- Roundsman
- Van salesman","- loads vehicle with food, drink, or articles that have been laundered, etc.
- drives vehicle over established route and parks at recognised stopping places or households
- calls at customers' premises and delivers ordered goods
- calls out, rings bell or otherwise attracts attention to the items on sale
- sells goods, records deliveries, takes further orders or articles requiring servicing and collects cash or prepares bill
- returns to depot and hands in unsold goods and cash"
7124,Market and street traders and assistants,"Market and street traders and assistants sell goods (other than refreshments) from stalls, barrows and other portable containers in streets and market places.","- Market assistant
- Market trader
- Owner (market stall)
- Stall holder
- Street trader","- displays products on stall or barrow
- calls out or otherwise attracts attention to goods on offer
- sells goods at fixed price or by bargaining with customer
- accepts payment and may wrap goods
- cleans up site on completion of each day's trading"
7125,Visual merchandisers and related occupations,"Visual merchandisers develop, deliver and communicate visual concepts and strategies to promote brands, products and services in-store, in catalogues or online, and create displays of merchandise.","- Display representative
- Fashion stylist
- Visual merchandising assistant
- Window dresser","- consults with advertising and sales staff and advises retailers on the optimal display of a product and of any promotions
- implements plans from display designers or display managers or develops ideas and plans for merchandise display or window dressing
- prepares an area for new display, constructs or assembles displays from a variety of materials, and dismantles existing displays and returns merchandise to relevant departments
- provides feedback about displays to managers and designers"
7129,Sales related occupations n.e.c.,Workers in this unit group perform a variety of sales occupations not elsewhere classified in MINOR GROUP 712: Sales Related Occupations.,"- Demonstrator
- Hire controller
- Insurance salesman
- Promoter (wholesale, retail trade)
- Sales representative (retail trade)","- assesses characteristics of goods/services being sold and decides on main selling points
- advises clients and agents on insurance related problems, seeks new outlets for business and quotes premiums, bonus rates, tax concessions, etc.
- obtains orders for advertising, financial, catering, printing and transportation services
- organises parties in private households to sell clothing, fashion accessories, giftware and other goods
- provides demonstrations of a product within retail stores, exhibitions and trade fairs to promote interest amongst potential customers
- negotiates agreements for the passage of supply lines over or under land/property and the siting of supporting structures and other items"
7131,Shopkeepers and owners - retail and wholesale,"Shopkeepers and proprietors in this unit group co-ordinate, direct and undertake the activities in the running of small, independent retail and wholesale establishments.","- Antiques dealer
- Fashion retailer
- Greengrocer
- Jeweller (retail trade)
- Newsagent
- Shopkeeper","- defines the market position for the business, decides what to sell, forecasts demand and develops the brand image of the business
- determines staffing, financial, material and other short- and long-term requirements
- oversees staff training, rotas and the allocation of work
- provides information about merchandise to staff and customers and ensures customer complaints are appropriately dealt with
- ensures that adequate reserves of merchandise are held and orders new stock as required
- maintains financial and other shop records and controls security arrangements for the premises
- authorises payment for supplies received and decides on vending price and credit terms
- examines quality of merchandise and ensures that effective use is made of advertising and display facilities"
7132,Sales supervisors - retail and wholesale,Sales supervisors oversee operations and directly supervise and coordinate the activities of sales and related workers in retail and wholesale establishments.,"- Bakery manager (retail trade)
- Check-out supervisor
- Section manager (retail trade)
- Shop supervisor (retail trade)
- Supervisor (retail, wholesale trade)
- Team leader (retail trade)","- directly supervises and coordinates the activities of sales and related workers
- establishes and monitors work schedules to meet sales and productivity targets
- liaises with managers and other departments to resolve operational problems
- determines or recommends staffing and other needs to meet sales and productivity targets
- reports as required to managerial staff on departmental activities"
7211,Call and contact centre occupations,Workers in this unit group receive and respond to telephone calls from potential clients and existing customers regarding the products and services offered by an organisation.,"- Call centre agent
- Call centre operator
- Customer service adviser (call centre)
- Customer service operator","- answers incoming telephone calls from existing or prospective customers
- interviews caller to establish the nature of any complaint or the requirements of the client
- informs existing and potential customers on any immediate action to be taken, and refers the matter to a more senior member of staff if necessary
- advises on services available and sells additional products or services
- maintains details of calls received, the action taken as a result of a call and updates customer database as required
- arranges for field staff to visit the caller if further assistance is required"
7212,Telephonists,"Telephonists receive and direct callers in commercial, industrial and other establishments, and operate telephone (public) and office (private) switchboards to advise on, and assist with, making telephone calls and to relay incoming, outgoing and internal calls.","- Call handler (motoring organisation)
- Operator (telephone)
- Switchboard operator (telephone)
- Telephonist
- Telephonist-receptionist","- receives callers and directs them to appropriate person or department
- operates switchboard to connect outgoing calls or to relay incoming or internal calls
- reports any faults on telephone operating system
- gives advice on dialling and other special features available
- provides directory information, dialling codes and details of charges
- alerts emergency services in cases of fire, crime or accident"
7213,Communication operators,Job holders in this unit group operate telecoms equipment to transmit and receive signals and messages.,"- Call handler (emergency services)
- Communications officer
- Control room operator (emergency services)
- Controller (taxi service)
- Emergency medical despatcher
- Radio operator","- receives messages, weather reports and other material to transmit
- tunes transmitter to required channel or wavelength and relays or receives message to/ from person or vehicle
- uses a teleprinter or telex keyboard to transmit messages to other teleprinters or telexes
- keeps record of messages sent and received
- performs routine tests and maintenance on equipment and reports faults
- receives and handles incoming calls for emergency services, transmitting to the appropriate services"
7214,Market research interviewers,"Market research interviewers conduct interviews to collect information on the opinions and preferences of consumers, businesses, the electorate and other selected groups.","- Interviewer (market research)
- Market researcher (interviewing)
- Mystery shopper
- Telephone interviewer
- Telephone researcher
- Traffic enumerator","- approaches members of the public, individuals, households and organisations to arrange and conduct face-to-face interviews, telephone interviews, focus groups, panel interviews etc.
- records progress of interviews by noting answers, completing questionnaires, making audio or visual recordings or inputting responses into a computer
- collects questionnaires, diaries, and other research materials left with interviewees and conducts follow-up interviews
- collates and reviews information collected and compiles reports to pass back to the organisation/individual commissioning the market research"
7219,Customer service occupations n.e.c.,Job holders in this unit group perform a variety of customer service occupations not elsewhere classified in MINOR GROUP 721: Customer Service Occupations.,"- Complaints officer
- Customer adviser
- Customer service administrator
- Customer service adviser
- Customer service assistant
- Customer services representative","- receives enquiries from potential and existing clients, discusses requirements, and recommends products or services
- discusses pricing processes with clients, agrees payment arrangements and handles customer accounts
- makes reservations, books tickets, organises insurance policies on behalf of customers
- follows up clients to ensure their satisfaction with a product or service and to gain renewal of customer service agreements
- addresses customer complaints and problems
- informs customers of special promotions and new product launches"
7220,Customer service supervisors,"Job holders in this unit group oversee operations and directly supervise and coordinate the activities of a customer services team dealing with the responses, complaints or further requirements of purchasers and users of a product or service.","- Call centre supervisor
- Communications supervisor (air transport)
- Customer service supervisor
- Team leader (call centre)","- directly supervises and coordinates the activities of a help and advisory services to provide support for customers and users
- liaises with clients and handles more complicated or sensitive complaints and queries
- develops and plans training for their teams
- establishes and monitors work schedules to meet the organisation's requirements
- discusses customer responses with managers with a view to improving the product or service provided and to resolve operational problems"
8111,"Food, drink and tobacco process operatives","Food, drink and tobacco process operatives set, operate and attend machinery to bake, freeze, heat, crush, mix, blend and otherwise process foodstuffs, beverages and tobacco leaves.","- Baker (food products mfr)
- Bakery assistant
- Factory worker (food products mfr)
- Meat processor
- Process worker (brewery)
- Process worker (dairy)","- sets, operates and attends machinery and ovens to mix, bake and otherwise prepare bread and flour confectionery products
- operates machinery to crush, mix, malt, cook and ferment grains and fruits to produce beer, wines, malt liquors, vinegar, yeast and related products
- attends equipment to make jam, toffee, cheese, processed cheese, margarine, syrup, ice, pasta, ice-cream, sausages, chocolate, maize starch, edible fats and dextrin
- operates equipment to cool, heat, dry, roast, blanch, pasteurise, smoke, sterilise, freeze, evaporate and concentrate foodstuffs and liquids used in food processing
- mixes, pulps, grinds, blends and separates foodstuffs and liquids with churning, pressing, sieving, grinding and filtering equipment
- processes tobacco leaves by hand or machine to make cigarettes, cigars, pipe and other tobacco products"
8112,Textile process operatives,"Job holders in this unit group operate machines to prepare natural and synthetic fibres for processing, spin and twist fibre into yarn, thread, twine, rope and other similar material, and estimate the quantities of colouring matter required for printing and dyeing fabrics.","- Factory worker (clothing mfr)
- Hosiery worker
- Machinist (rope, twine mfr)
- Process worker (textile mfr)
- Spinner (paper twine mfr)","- sets controls, starts machinery and monitors the passage of material processed
- replenishes the supply of input fibres, removes and replaces full output packages, cards and spools
- detects blockages, tangled thread, defective or broken material, and joins broken ends by hand or mechanical knotting
- checks quality of completed material, marks any flaws and removes badly damaged sections
- examines colour cards or specifications, estimates quantity of colouring material needed to print or dye fibre and calculates and mixes ingredients accordingly
- stretches, shrinks, brushes, dampens and presses fabric and shears or burns off protruding fabric fibres as required
- cleans and oils machine, detects and reports mechanical faults to technicians"
8113,Chemical and related process operatives,"Job holders in this unit group operate plant and machinery in the processing of chemical and related materials by chemical, heat or other treatment, manufacture synthetic materials and bleach, dye or otherwise treat textiles, and treat hides, skins and pelts for making into fur, leather and skin products.","- Chemical process operator
- Gas producer operator
- Process technician (chemical mfr)
- Process worker (cement mfr)
- Process worker (nuclear fuel production)","- loads prescribed quantities of ingredients into plant equipment, starts operational cycle, monitors instruments and gauges indicating conditions affecting the operation of the plant and adjusts controls as necessary
- prepares dye, bleaching, water repellent, fixing salt and other chemical solutions to finish and treat textiles
- regulates input of polymer into melting unit, extrudes polymer, gathers extruded filaments and feeds strands through rolling, cutting and treatment units to produce synthetic fibre
- operates kilns, furnaces and ovens to produce charcoal, coke and other carbon products
- operates machines to coat film and tape with sensitising material and otherwise impregnate materials by immersion, split and mould mica and produce asbestos pipes and sheets
- cuts and trims skins, hides and pelts, removes wool, hair, flesh and other waste material, and washes, limes, tans, dyes and otherwise treats hides for making into leather, skin and fur products
- withdraws samples for quality control testing, removes and regulates discharge of batch material upon completion of processing"
8114,Plastics process operatives,"Plastics process operatives attend and operate moulding, extruding, thermoforming, calendering, covering, cutting and other process equipment to make and repair plastic products.","- Extrusion operator (plastics mfr)
- Fabricator (plastics mfr)
- Injection moulder
- Laminator (fibreglass)
- Process worker (plastic goods mfr)","- prepares machine for operation by affixing any necessary attachments
- weighs and mixes ingredients, loads machine with plastic to be worked or regulates flow from feed conveyor or hopper
- monitors controls regulating temperature, pressure, etc. and operates moulding, extruding, calendering, thermoforming and covering machines
- inspects plastic products for defects, takes measurements and repairs plastic belting and sheathing
- trims, cuts and performs other finishing operations on plastic using hand and machine tools
- makes artificial eyes and contact lens discs, and makes and repairs spectacle frames and plastic parts of artificial limbs and other orthopaedic appliances"
8115,Metal making and treating process operatives,"Metal making and treating process operatives operate furnaces, ovens and other heating vessels, drawing, rolling, extruding, galvanising, forging and other metal processing equipment to smelt, shape, coat and treat metal and metal products.","- Degreaser (metal trades)
- Electroplater
- Furnaceman (metal trades)
- Process worker (nickel mfr)
- Wire drawer","- charges furnace, operates controls to regulate furnace temperature, and adds oxidising, alloying and fluxing agents as required
- withdraws samples of molten metal for analysis, taps slag from surface of molten metal and directs flow of molten metal into casts
- sets rolling speed, tension and space between rolls, guides the metal to and from rollers, and monitors the rolling process to detect irregularities, and ensure that the gauge and finish match required specifications
- operates equipment to remove dirt, scale and other surface impurities by immersion in chemical solution
- heats metal or metal articles in furnace, allows to cool for a specified time or quenches in brine, oil or water to harden, reduces brittleness and restores ductility
- operates piercing, extruding, pressing and other metal processing equipment to shape and treat metal or metal articles
- coats metal parts and articles electrolytically, forms metal articles by electro- and vacuum-deposition, dips and sprays articles with another metal, plastic powder or material and treats articles chemically to produce desired finishes"
8119,Process operatives n.e.c.,Job holders in this unit group perform a variety of processing occupations not elsewhere classified in MINOR GROUP 811: Process Operatives.,"- Glass worker
- Moulder (rubber goods mfr)
- Melting pot assistant (electric cable)
- Process worker (fibreglass mfr)
- Stone finisher (cast concrete products mfr)","- packs products ready for kiln setting
- operates kilns, furnaces and ovens to produce cement clinker, linoleum cement and asphalt, to fire abrasive and carbon products, to make and treat glass and ceramic items, and otherwise cook and heat treat materials and products not elsewhere classified
- operates masticating, calendaring, mixing, forming, shaping, moulding, extruding, cutting, trimming and winding machines to make and repair rubber products
- operates machines to mix, blend, crush, wash and separate seeds and other materials not elsewhere classified
- operates machines to produce flat and corrugated asbestos cement pipes and sheets
- performs other processing tasks not elsewhere classified"
8120,Metal working machine operatives,"Metal working machine operatives operate machines to cut, shape, abrade and otherwise machine metal, use hand and power tools to remove surplus metal and rough surfaces from castings, forgings or other metal parts, and clean, smooth and polish metal workpieces.","- Engineer (nos)
- Machinist (metal trades)
- Metal polisher
- Process worker (metal trades)
- Shot blaster","- secures workpiece in drilling, boring, milling, planing, grinding, lapping, honing, electrochemical, or other shaping machines, or loads metal stock on to press
- sets controls, starts machine and operates controls to feed tool to workpiece or vice versa and repositions workpiece during machining as required
- withdraws workpiece and examines accuracy using measuring instruments
- operates burning, chipping and grinding equipment to remove defects from metal parts, and files, chisels, burns and saws off surplus metal
- smooths rough surfaces with hand tools, abrasive belts and wheels, compressed air, jets of vapour, or blasting with shot, grit, sand or other abrasive material
- selects and secures polishing head to machine tool, prepares head with emery, grease or other substance, sets speed and angle of polishing head, and operates controls to feed polishing head to workpiece or vice versa"
8131,Paper and wood machine operatives,"Paper and wood machine operatives operate machines to treat and cut wood, to produce, treat and cut paper, paperboard, leatherboard, plasterboard and similar material, and to assemble and make wooden crates and containers.","- Box maker (cardboard)
- Guillotine operator (printing)
- Machinist (paper goods mfr)
- Sawyer
- Wood machinist","- cuts and shapes wood using hand and power tools, assembles parts of wooden crates, barrels and other wooden containers using nails, bolts and staples, and fits metal strips and corner pieces to strengthen container as required
- examines job requirements, ascertains necessary ingredients and loads machines to beat, mix and crush wood, cork and pulp for further processing
- attends and operates ovens, kilns, milling, filtering, straining, calendering, coating, drying, finishing, winding and other machines to produce and/or treat wood, paper, paperboard, leatherboard and plasterboard
- sets and adjusts edge guides, stops and blades of cutting machine, threads material through rollers or loads into machine hopper, starts and monitors operation of machine, removes completed work and clears machine of waste material"
8132,Mining and quarry workers and related operatives,"Quarry workers erect supports in underground workings, set and detonate explosives to loosen rocks and set up and operate drilling equipment to extract coal and other minerals from the ground, and operate machinery to wash, crush or separate stone and ores.","- Coal miner
- Derrickman (oil wells)
- Diamond driller (well sinking)
- Plant operator (quarry)
- Quarry operative","- inspects blasting area, drills shot holes, inserts explosives and detonates charges to loosen large pieces of rock, coal or ore
- assembles drilling and cutting tools, operates controls to start machines and to regulate the speed and pressure of cutting and drilling
- erects timber or metal supports to shore up tunnel and assists tunnel miner with the excavation of vertical shafts and underground tunnels
- operates heading, ripping and cutting-loading machines to remove material from working face and monitors conveyor carrying away loose material
- conveys goods and materials to and from the workface, loads and unloads mine cars and transfers materials from underground and surface conveyors to bunkers, tubs and rail trucks
- operates agitators/vibrators to separate minerals and ensures that screened, filtered, crushed and separated material is discharged to appropriate chutes or conveyors
- performs other mining and quarrying tasks not elsewhere classified including digging clay from open pits, operating high-pressure hoses to wash china clay from open pit faces and otherwise assisting miners"
8133,Energy plant operatives,"Job holders in this unit group operate boilers to produce hot water or steam and attend and operate compressors, turbines, electrical substations, switchboards and auxiliary plant and machinery to fuel nuclear reactors, drive blowers and pumps, electricity generators and other equipment.","- Boilerman
- Control room operator (electric)
- Hydraulic engineman
- Plant operator (electricity supplier)
- Power station operator","- determines job requirements from switchboard attendant or operating instructions
- opens valves and operates controls to regulate the flow of fuel to boiler or generating equipment
- operates remote control panel to load fuel and remove discharged fuel elements from nuclear reactors
- adjusts controls to maintain correct running speed of turbine or generator and monitors temperature and pressure controls on boilers
- records instrument readings periodically and shuts down turbine/generator or boiler as demand decreases
- carries out minor maintenance tasks and prescribed tests and reports any faults"
8134,Water and sewerage plant operatives,"Water and sewerage plant operatives operate valves to control water supplies in mains and pipelines, attend screening, filtering, water purifying and sedimentation plant, clear any blockages and patrol and maintain sewerage systems.","- Controller (water treatment)
- Plant operator (sewage works)
- Pump attendant
- Water treatment engineer
- Water treatment operator","- attends water filtration and purification plant, monitors chemical treatment and regulates treatment of water supply within strict guidelines
- opens and closes valves to regulate quantity and pressure of water and reports defective valves or abnormal water pressure
- stops water supply in an emergency and informs consumers likely to be affected
- regulates flow of raw sewage into screening plant, releases screened sewage and regulates its flow into detritus pits, sedimentation tanks and filtration beds
- cleans out screen compartments, sedimentation tanks and filtration beds manually or using mechanical scraper
- patrols sections of sewer, examines for any blockages or gas releases and clears blockages by flushing or by using boring rods
- digs trench and assists pipe layers to lay, renew or repair sewerage pipes"
8135,Printing machine assistants,"Printing machine assistants set and operate letterpress, platen or cylinder, lithographic and photogravure printing machines, photocopiers, office printers, duplication machines and other reprographic equipment.","- Finishing operative (printing)
- Lithographer (printing)
- Machinist (printing)
- Print operator
- Printer's assistant","- positions printing plates, loads inks into reservoirs and loads paper rolls or sheets into printing press
- sets controls to control the speed, pressure and ink flow of printing machine
- loads photocopiers, office printers, duplication machines and other reprographic equipment with stationery
- starts reprographic or printing machine and monitors operation for paper misfeeds and error messages, removes blockages and replaces damaged paper, and monitors quality of output
- carries out routine maintenance and cleaning of printing machine
- sets and operates machines for cutting paper to specified dimensions or for folding or binding to produce finished paper items
- sets and operates presses for stamping patterns and labels on textiles, clothing, pottery, footwear and other leather goods"
8139,Plant and machine operatives n.e.c.,Job holders in this unit group operate a variety of plant and machinery not elsewhere classified in MINOR GROUP 813: Plant and Machine Operatives.,"- Bench hand (metal trades)
- Cable maker (spring mfr)
- Laser operator
- Manufacturer (metal goods mfr)
- Saw doctor","- operates acetylene torches and other cutting equipment to dismantle boilers, cars, ships, railway track, engines, machinery and other scrap metal
- bends, coils, crimps and spins metal wires in the manufacture of cables, springs, ropes and other wire goods
- operates machines in the manufacture of nuts, bolts, nails, screws, pins, rivets, etc.
- fills grease gun with grease of appropriate grade, and applies grease or oil to grease points or lubrication holes in machinery or equipment and over bearings, axles and other similar parts
- ensures that rollers in rope haulage system are well greased and running freely
- inspects machines and equipment, and reports any faults"
8141,Assemblers (electrical and electronic products),"Jobholders in this unit group wire up prepared parts and/or sub-assemblies in the manufacture of electrical and electronic equipment, make coils and wiring harnesses and assemble previously prepared parts in the batch or mass production of electrical and electronic goods and components","- Assembler (electrical, electronic equipment mfr)
- Line operator (electrical)
- Panel wirer
- Solderer
- Technical operator (circuit board mfr)","- examines drawings, specifications and wiring diagrams to identify appropriate materials and sequence of operations
- selects, cuts and connects wire to appropriate terminals by crimping or soldering
- positions and secures switches, transformers, tags, valve holders or other parts and connects capacitors, resistors, transistors or sub-assemblies to appropriate terminals by soldering
- lays out and secures wire to make harnesses and operates machine to wind heavy and light coils of wire or copper for transformers, armatures, rotors, stators and light electrical equipment
- assembles previously prepared electrical or electronic components by winding, bolting, screwing or otherwise fastening using an assembly machine or hand tools"
8142,Assemblers (vehicles and metal goods),"Jobholders in this unit group undertake the routine assembly of vehicles and other metal goods or components such as frames, axles, wire brushes and wheels.","- Assembler (metal trades)
- Car worker
- Lineworker (vehicle mfr)
- Manufacturing operator (metal trades)
- Process worker (metal trades: assembly)","- follows instructions and drawings and positions components on work bench or in assembly machine
- assembles prepared components in sequence by soldering, bolting, fastening, spot-welding, screwing and hammering using power and hand tools or assembly machine
- rejects faulty assembly components
- inspects finished article for faults, monitors assembly machine operation and reports any faults"
8143,Routine inspectors and testers,"Jobholders in this unit group inspect and/or test metal stock, parts and products, electrical plant, machinery and electronic components, systems and sub-assemblies, textiles, wood, paper, food, plastics and rubber goods, parts and materials to detect processing, manufacturing and other defects.","- Quality assurance inspector
- Quality auditor
- Quality controller
- Quality inspector
- Test engineer","- examines articles for surface flaws such as cracks, dents, defective sealing or broken wires by visual inspection or using aids such as microscopes or magnifying glasses
- checks sequence of assembly operations and checks assemblies and sub-assemblies against parts lists to detect missing items
- sets up test equipment, connects items/system to power source/pressure outlet, etc. and operates controls to check performance and operation of electrical plant and machinery and electronics systems
- examines yarn packages, textile fabrics and garments, wood or wood products, paper and paperboard, plastics and rubber materials, food products, food storage containers, etc., checks specifications, marks any repairable defects and rejects faulty items
- reports any recurrent or major defects and recommends improvements to production methods"
8144,"Weighers, graders and sorters","Jobholders in this unit group weigh, grade and sort materials, goods and products.","- Grader (food products mfr)
- Metal sorter
- Selector (ceramics mfr)
- Weighbridge clerk
- Weighbridge operator","- examines hide, skins, leather, fabric, wool, rags, scrap metal, tobacco pipe bowls, fish, fibres, ceramics, produce and other goods
- assesses product quality visually and by touch, and grades according to weight, thickness, colour and other quality criteria
- ascertains material(s) required from order card, recipe, or specification and weighs and measures prescribed quantities accordingly
- uses balances, springs, weighing platforms, automatic scales and weighbridges to check the weight of goods, products and loaded vehicles
- records and calculates gross and net weight, checks delivery notes and prepares documents and labels for identification purposes
- operates machines to measure lengths of rolls of material and�irregularly shaped materials such as leather or sheepskin"
8145,"Tyre, exhaust and windscreen fitters","Tyre, exhaust and windscreen fitters fit, repair and adjust tyres, exhausts and windscreens on cars, buses, motorcycles and other motor vehicles.","- Tyre and exhaust fitter
- Tyre fitter
- Tyre technician
- Windscreen fitter","- carries out inspection and assesses the nature and extent of repair necessary
- removes wheel, exhaust or windscreen using semi-automatic machinery or hand and power tools
- separates tyre from wheel and fits replacement tyre using automatic machine or by using a wheel stand and hand tools
- inflates tyre to correct pressure, refits wheel to axle and balances wheel using balancing machine
- replaces faulty parts of exhaust and refits exhaust or windscreen to vehicle"
8146,Sewing machinists,"Jobholders in this unit group sew and finish garments by hand or machine, rectify faults in manufactured textile goods and repair worn and damaged garments.","- Overlocker
- Seamstress
- Sewing machinist
- Stitcher
- Upholstery machinist","- operates standard and specialised machines to sew, finish and repair garments and other textile, fabric, fur and skin products
- examines fabrics of all types to identify imperfections and determine best method of repair
- performs hand sewing tasks in the making, trimming and finishing of fur, sheepskin, leather, upholstery, mats, carpets, umbrellas and other textile products
- embroiders decorative designs on textiles with machine stitching
- routinely cleans and oils machine and reports or remedies any mechanical faults"
8149,Assemblers and routine operatives n.e.c.,Jobholders in this unit group perform assembly and routine operative tasks not elsewhere classified in MINOR GROUP 814: Assemblers and Routine Operatives.,"- Assembler
- Gluer (furniture mfr)
- Paint line operator
- Production assistant
- Riveter (soft toy mfr)","- follows instructions and drawings and positions components on work bench or in assembly machine
- assembles prepared components in sequence by soldering, bolting, fastening, spot-welding, screwing, nailing, stapling, dipping and fastening using power and hand tools or assembly machine
- rejects faulty assembly components, inspects finished article for faults, monitors assembly machine operation and reports any faults
- applies enamel to jewellery and coats, lacquers, dips and touches up articles (other than ceramic)
- sets up and operates machines to apply colour to wallpaper and to coat articles (other than ceramic) with paint, cellulose or other protective/ decorative material
- performs miscellaneous painting and coating tasks not elsewhere classified including, staining articles, applying transfers, operating French polishing machines, removing surplus enamel from components and marking design outlines on articles"
8151,"Scaffolders, stagers and riggers","Job holders in this unit group erect and dismantle scaffolding and working platforms, set up lifting equipment and ships� rigging, maintain and repair steeples, industrial chimneys and other tall structures and install, maintain and repair ropes, wires and cables.","- Bell hanger (church bells)
- Rigger (film, television production)
- Stage rigger (shipbuilding)
- Tackleman (steelworks)","- examines drawings and specifications to determine job requirements
- examines scaffold tubing and couplings for defects and selects, fits and bolts scaffold tubes until scaffolding reaches required height
- lays and secures wooden planking to form working platforms and fixes guard rails, ladders, cradles and awnings as required
- erects jib, derrick and similar hoisting equipment and installs ropes, pulleys and other lifting tackle
- forms rope slings, ladders, netting and other rigging and measures, cuts and repairs wire or fibre rope"
8152,Road construction operatives,"Road construction operatives construct, repair and maintain roads and lay paving slabs and kerbstones to form pavements and street gutters.","- Asphalter
- Concrete finisher (building construction)
- Highways operative
- Paver
- Road worker
- Tarmacer","- inspects road surfaces for hazards or signs of deterioration, clears mud, weeds and debris from road and spreads grit or salt as required
- sets up traffic management systems around work site such as cones, lights and barriers
- cuts away broken road surface with pick or pneumatic drill
- heats bitumen in bucket, applies it to newly laid asphalt and beats or draws tamper head on asphalt to close joints
- spreads bitumen, tar or asphalt and compacts surface using roller
- spreads aggregate over road surfaces using shovel, lays markings on road surface and repairs crash barriers
- removes damaged paving slabs and kerb stones, lays bedding of sand, concrete or mortar on prepared foundation, lays new slabs or stones and fills joints with mortar"
8153,Rail construction and maintenance operatives,"Rail construction and maintenance operatives lay, re-lay, repair and examine railway track and maintain surrounding areas.","- Line Inspector (railways)
- Maintenance man (railway maintenance and repair)
- Relayer (railways)
- Track maintenance engineer
- Trackman (railways)
- Ultrasonic engineer (railway maintenance and repair)","- patrols length of track and visually inspects rails, bolts, fishplates and chairs for distortion or fracture
- checks tightness of bolts and wedges, replaces damaged rail chairs and repacks ballast under sleepers if necessary
- lubricates points, examines fences, drains, culverts and embankments and carries out any necessary maintenance
- spreads ballast and lays sleepers or metal plates at specified intervals
- positions lengths of rail, sets of points and crossovers and secures rail with bolts, wooden wedges or clips
- fastens together sections of rail by bolting fishplates to rails"
8159,Construction operatives n.e.c.,"Workers in this unit group operate insulating equipment, fix plasterboard to ceilings and walls, help construct, maintain, repair and demolish buildings and clean and resurface eroded stonework, lay, join and examine pipe sections for drainage, gas, water or similar piping systems, install lighting systems in roads, domestic and commercial settings and carry out a variety of other construction operative tasks not elsewhere classified in MINOR GROUP 815: Construction Operatives.","- Asbestos remover
- Cable layer
- Demolition worker
- General handyman
- Maintenance man
- Public lighting operative
- Thermal insulation engineer","- fills machine with insulating mixture, positions hose, drills access hole and fills cavities or coats surfaces to prevent loss or absorption of heat and provide fire protections
- cuts, shapes and fits wood, lays bricks and tiles, cleans exterior surfaces of buildings and resurfaces eroded stone or brickwork, and performs other tasks in the construction, alteration, repair and demolition of buildings
- selects appropriate asbestos, clay, concrete, plastic or metal pipe sections and lowers them into prepared trenches using hoisting equipment
- joints pipe by sealing with rubber, cement, lead, etc., connects piping to manholes and attaches pipe junctions as required
- tests joints with electronic test equipment or by filling piping with water, smoke or compressed air
- installs electrical lighting in streets, homes and business/manufacturing settings"
8160,"Production, factory and assembly supervisors","Workers in this unit group oversee operations and directly supervise and coordinate the technical and operational work of those carrying out production, manufacturing and assembly roles.","- Foreman (plasterboard mfr)
- Leading hand (textile mfr)
- Mill foreman (food products mfr)
- Print room supervisor
- Process supervisor (chemical mfr)
- Production team leader (vehicle mfr)","- directly supervises and coordinates the activities of production, manufacturing and assembly staff
- establishes and monitors work schedules to meet the organisation's requirements
- liaises with managers and other senior staff to resolve operational problems
- determines or recommends staffing and other needs to meet the organisation's requirements
- reports as required to managerial staff on work-related matters"
8211,Large goods vehicle drivers,"LGV drivers collect, transport and deliver goods in rigid vehicles over 7.5 tonnes, articulated lorries and lorries pulling trailers.","- Haulage contractor
- LGV/HGV driver
- Lorry driver
- Owner (heavy goods vehicle)
- Tanker driver","- checks tyres, brakes, lights, oil, water and fuel levels and general condition of the vehicle
- drives vehicle from depot to loading/unloading point
- agrees delivery schedule and route with transport management
- assists with loading/unloading and ensures that load is evenly distributed and safely secured
- drives vehicle to destination in accordance with schedule
- maintains records of journey times, mileage and hours worked
- undertakes minor repairs and notifies supervisor of any mechanical faults"
8212,Bus and coach drivers,"Bus and coach drivers drive road passenger-carrying vehicles such as buses, coaches and mini-buses.","- Bus driver
- Coach driver
- Coach operator
- Minibus driver
- PSV driver","- checks tyres, brakes, lights, oil, water and fuel levels and general condition of the vehicle before start of journey
- drives single- and double-decked vehicle over pre-determined route, complying with traffic regulations and keeping to time schedule
- stops and opens and closes doors at pre-arranged places to allow passengers to board and alight, observing regulations concerning the number of passengers carried
- may collect fares from passengers and issue tickets or ensure that they use a ticket machine
- may plan routes in conjunction with private hirer and assist with loading and unloading of luggage
- balances cash taken with tickets sold and may be responsible for cleanliness of vehicle
- maintains records of journey times, mileage and hours worked"
